t,pkt_rate,byte_rate,dport_entropy,label,mu_rolling_pkt_rate,sigma_rolling_pkt_rate,z_score_pkt_rate,fire_pkt_rate
0.0,80704364.11521181,2076351610.7851806,2.7265368444483036,0,,,,0
60.0,66059230.83530517,1799716690.3752763,3.267110235657519,0,,,,0
120.0,35134150.375594094,1804826571.8160148,4.276630622982457,0,73381797.4752585,7322566.639953234,,0
180.0,60996915.162276804,1935700633.9487805,2.8528144706289487,0,60632581.77537036,18995569.397158183,,0
240.0,42118530.96640718,1178013298.6118903,3.405443660298415,0,60723665.12209697,16451402.100424223,,0
300.0,41196209.544146374,1745886520.6473742,3.285098326512269,0,57002638.290959015,16489483.544613155,,0
360.0,42097760.10336778,2138048413.9220676,2.930693398435135,0,49101007.376745924,12127719.20022984,,0
420.0,39424571.308005944,1030815872.0321999,2.8628422052224494,0,44308713.230358444,8741185.029185303,,0
480.0,39851825.2288459,2762641268.9241405,3.015551980227412,0,45166797.416840814,7975490.89346195,,0
540.0,31612593.57311312,1121127070.2874517,3.4891091490378177,0,40937779.43015464,1120322.3486734745,,0
600.0,60617840.47090405,1495410122.937565,2.6630937526577494,0,38836591.95149582,3735387.096415343,5.831055244665423,1
660.0,70062477.98768705,1769317055.03409,2.809458333317445,0,42720918.136847354,9624766.242459813,2.8407505348256628,0
720.0,61521046.94553505,2426766361.2853837,3.513051180790478,0,48313861.71371121,14518595.703320725,0.9096737385422933,0
780.0,26340978.949716154,2278951418.154342,3.6703443214803273,0,52733156.841217026,14503154.944309015,-1.8197542529776989,0
840.0,5142344.200755912,279924996.8349384,4.024433998326795,0,50030987.58539108,17583044.52025459,-2.5529505617145087,0
900.0,19993766.998557333,471736905.43452287,2.784991042145274,0,44736937.71091964,24825130.491341844,-0.9966985156832058,0
960.0,21892703.06052336,1219838161.086346,2.063008548797771,0,36612123.0164503,24945516.12972741,-0.5900627543394824,0
1020.0,20860828.156086065,1259233129.3881238,3.7301582494141927,0,26978168.03101756,18681881.638223305,-0.32744773751351475,0
1080.0,21692332.117407225,3431634872.8828135,2.804350730126344,0,18846124.27312776,7191998.23086969,0.39574646056820395,0
1140.0,9807971.343193633,149832569.39085105,3.104511843890691,0,17916394.906665973,6422308.957991914,-1.2625402509454526,0
1200.0,12978038.433930881,3342295144.686281,3.0878055196872864,0,18849520.33515352,4570488.1069876375,-1.2846509527605954,0
1260.0,38018662.37899054,1422437945.480567,2.6577713509783956,0,17446374.622228228,5055051.285827845,4.06964966200007,1
1320.0,9164274.179401876,990931411.7881955,3.75402671722908,0,20671566.485921662,9789868.147114316,-1.1754287323993942,0
1380.0,52700560.80056365,2757278832.4215164,2.610419640104067,0,18332255.690584827,10809511.302102573,3.179450407095999,1
1440.0,22910365.136764556,236034408.49265593,4.314755412750218,0,24533901.427216105,17673799.287513375,-0.09186119317302563,0
1500.0,13231999.41773281,1635283896.7244103,1.794395244967121,0,27154380.185930293,16206567.896375064,-0.8590579360921637,0
1560.0,48640481.87875111,2192397915.5580826,2.197484783723706,1,27205172.38269068,16162396.706231466,1.3262457224426358,0
1620.0,28641781.44178391,2113234607.790035,2.537520182386747,1,29329536.282642793,18033810.76668341,-0.0381369667097471,0
1680.0,49485201.75770561,1495930133.760948,3.1164343707921645,1,33225037.7351192,15126481.461597228,1.0749468780209954,0
1740.0,59977385.443644404,2981028698.2903233,2.91914829249648,1,32581965.926547587,14332351.067805188,1.911439329632055,0
1800.0,76696104.11818963,2442947122.845185,3.2590210588731336,1,39995369.987923555,16788435.218618516,2.1860723559015587,0
1860.0,35783313.5808508,2151756706.4138145,2.6236765214463498,1,52688190.92801493,15712320.960225863,-1.075899441588362,0
1920.0,40695973.98940671,1833576652.3377943,2.4442590473221575,1,50116757.26843487,17150596.04814264,-0.5492977184340131,0
